Point ID,Date,Time,Easting ,Northing,Elevation,Accuracy (?),Accuracy (?)
TR0500049    ,26/10/2022,14:03:04,115664.671,558614.47100000002,-0.76200000000000001,0.01,0.01
TR0500050    ,26/10/2022,14:03:05,115665.51300000001,558613.68299999996,-0.76800000000000002,0.01,0.01
TR0500051    ,26/10/2022,14:03:06,115666.36,558612.88899999997,-0.78600000000000003,0.01,0.01
TR0500052    ,26/10/2022,14:03:07,115667.32399999999,558612.10100000002,-0.76500000000000001,0.01,0.01
TR0500053    ,26/10/2022,14:03:08,115668.163,558611.32499999995,-0.75900000000000001,0.01,0.01
TR0500054    ,26/10/2022,14:03:09,115669.07799999999,558610.68500000006,-0.76300000000000001,0.01,0.01
TR0500055    ,26/10/2022,14:03:10,115670.02,558610.07900000003,-0.77600000000000002,0.01,0.01
TR0500056    ,26/10/2022,14:03:11,115670.90700000001,558609.51100000006,-0.80200000000000005,0.01,0.01
TR0500057    ,26/10/2022,14:03:12,115671.833,558608.88800000004,-0.82899999999999996,0.01,0.01
TR0500058    ,26/10/2022,14:03:13,115672.78200000001,558608.28399999999,-0.84399999999999997,0.01,0.02
TR0500059    ,26/10/2022,14:03:14,115673.719,558607.67700000003,-0.85399999999999998,0.01,0.02
TR0500060    ,26/10/2022,14:03:14,115674.624,558607.08600000001,-0.87,0.01,0.02
TR0500061    ,26/10/2022,14:03:16,115675.514,558606.52099999995,-0.89500000000000002,0.01,0.02
TR0500062    ,26/10/2022,14:03:17,115676.29300000001,558606.02800000005,-0.93400000000000005,0.01,0.02
TR0500063    ,26/10/2022,14:03:17,115677.072,558605.51699999999,-0.95699999999999996,0.01,0.02
TR0500064    ,26/10/2022,14:03:19,115677.842,558605.01000000001,-0.97499999999999998,0.01,0.02
TR0500065    ,26/10/2022,14:03:20,115679.35000000001,558604.06299999997,-1.0229999999999999,0.02,0.02
TR0500066    ,26/10/2022,14:03:22,115680.07000000001,558603.50899999996,-1.0329999999999999,0.02,0.02
TR0500067    ,26/10/2022,14:03:23,115680.772,558602.93000000005,-1.0309999999999999,0.02,0.029999999999999999
TR0500068    ,26/10/2022,14:03:24,115681.52099999999,558602.33900000004,-1.052,0.02,0.029999999999999999
TR0500069    ,26/10/2022,14:03:25,115682.196,558601.95299999998,-1.0600000000000001,0.02,0.029999999999999999
TR0500070    ,26/10/2022,14:03:26,115682.47500000001,558601.80700000003,-1.087,0.02,0.029999999999999999
TR0500071    ,26/10/2022,14:03:27,115682.477,558601.88100000005,-1.1040000000000001,0.02,0.029999999999999999
TR0500072    ,26/10/2022,14:03:28,115682.48299999999,558601.87699999998,-1.109,0.02,0.029999999999999999
TR0500073    ,26/10/2022,14:03:29,115682.516,558601.89300000004,-1.123,0.02,0.029999999999999999
TR0500074    ,26/10/2022,14:03:30,115682.493,558601.86399999994,-1.119,0.02,0.029999999999999999
TR0500075    ,26/10/2022,14:03:31,115682.48299999999,558601.86499999999,-1.1220000000000001,0.02,0.029999999999999999
TR0500076    ,26/10/2022,14:03:32,115682.408,558601.90399999998,-1.1359999999999999,0.02,0.029999999999999999
TR0500077    ,26/10/2022,14:03:33,115682.32399999999,558602.04700000002,-1.1279999999999999,0.02,0.029999999999999999
TR0500078    ,26/10/2022,14:03:34,115682.299,558602.08400000003,-1.1299999999999999,0.02,0.029999999999999999
TR0500079    ,26/10/2022,14:03:35,115682.311,558602.076,-1.1319999999999999,0.02,0.040000000000000001
TR0500080    ,26/10/2022,14:03:36,115682.34600000001,558602.08900000004,-1.135,0.02,0.040000000000000001
TR0500081    ,26/10/2022,14:03:36,115682.322,558602.07299999997,-1.149,0.02,0.040000000000000001
TR0500082    ,26/10/2022,14:03:38,115682.326,558602.06700000004,-1.1180000000000001,0.02,0.029999999999999999
TR0500083    ,26/10/2022,14:03:39,115682.314,558602.05000000005,-1.101,0.02,0.02
TR0500084    ,26/10/2022,14:03:39,115682.31299999999,558602.05200000003,-1.1120000000000001,0.02,0.02
TR0500085    ,26/10/2022,14:03:41,115682.37699999999,558602.01800000004,-1.056,0.01,0.02
TR0500086    ,26/10/2022,14:03:42,115682.39999999999,558601.92599999998,-1.0409999999999999,0.01,0.01
TR0500087    ,26/10/2022,14:03:43,115682.45299999999,558601.85800000001,-1.028,0.01,0.01
TR0500088    ,26/10/2022,14:03:44,115682.785,558601.62899999996,-1.0449999999999999,0.01,0.01
TR0500089    ,26/10/2022,14:03:45,115683.38400000001,558601.30000000005,-1.0469999999999999,0.01,0.01
TR0500090    ,26/10/2022,14:03:46,115683.822,558600.81499999994,-1.0469999999999999,0.01,0.01
TR0500091    ,26/10/2022,14:03:47,115684.501,558600.36699999997,-1.0600000000000001,0.01,0.01
