x,y
116892.1496,559584.9045
116945.0268,559620.9011
116995.0087,559662.7457
117044.5507,559704.9418
117094.8193,559748.2095
117144.2319,559791.5407
117193.314,559835.1282
117243.1145,559879.8487
117293.0978,559925.2963
117342.7123,559970.8971
117392.3439,560016.9578
115192.9957,558034.8515
115243.0066,558108.4216
115292.8835,558178.1266
115342.7651,558244.3736
115393.2213,558308.1187
115443.1722,558368.2403
115493.2756,558425.7556
115635.7059,558591.2644
115686.0515,558639.9334
115736.1118,558686.5206
115786.4446,558731.7343
115844.3398,558767.6013
115894.5268,558809.9459
115944.4256,558850.9441
115994.7076,558891.2645
116044.5216,558930.4061
116094.9361,558969.2972
116144.7066,559007.1678
116195.0148,559044.9786
116244.7686,559082.086
116294.5081,559118.9604
116344.9179,559156.2193
116394.7861,559193.0783
116444.6182,559229.986
116494.6992,559267.2373
116544.4166,559304.4518
116594.5806,559342.3141
116644.4514,559380.3189
116689.4828,559426.1993
116739.1772,559464.9822
116789.2631,559506.2278
116892.6509,559584.0393
116945.5241,559620.0335
116995.5078,559661.8791
117045.0956,559704.1033
117095.3374,559747.3541
117144.8087,559790.7238
117193.9826,559834.3845
117243.803,559879.1235
117293.7881,559924.5727
117343.4411,559970.2123
117393.1095,560016.3145
115193.774,558034.2236
115243.7836,558107.7921
115293.6742,558177.5144
115343.569,558243.7788
115393.9745,558307.4609
115443.9308,558367.5888
115494.0227,558425.091
115636.4343,558590.5793
115686.7416,558639.2097
115736.7952,558685.7905
115787.091,558730.9712
115844.9688,558766.8239
115895.1349,558809.1521
115945.045,558850.159
115995.2956,558890.4557
116045.1303,558929.6127
116095.4988,558968.4705
116145.2948,559006.3591
116195.5687,559044.146
116245.3499,559081.2723
116295.1183,559118.1682
116345.4826,559155.394
116395.3654,559192.2632
116445.2162,559229.1845
116495.2882,559266.4292
116545.037,559303.6675
116595.1827,559341.5157
116645.0679,559379.5316
116690.0462,559425.3731
116739.7746,559464.1803
116893.1523,559583.174
116946.0214,559619.1659
116996.0069,559661.0126
117045.6406,559703.2649
117095.8554,559746.4988
117145.3856,559789.907
117194.6512,559833.6409
117244.4916,559878.3983
117294.4783,559923.8491
117344.1698,559969.5276
117393.8751,560015.6711
115194.5522,558033.5956
115244.5607,558107.1627
115294.4649,558176.9023
115344.3729,558243.184
115394.7277,558306.8031
115444.6895,558366.9373
115494.7699,558424.4263
115637.1628,558589.8942
115687.4316,558638.4859
115737.4785,558685.0604
115787.7373,558730.2082
115845.5977,558766.0464
115895.7431,558808.3582
115945.6644,558849.3739
115995.8837,558889.6469
116045.739,558928.8193
116096.0614,558967.6438
116145.8829,559005.5503
116196.1226,559043.3134
116245.9311,559080.4586
116295.7285,559117.376
116346.0472,559154.5687
116395.9447,559191.4481
116445.8142,559228.383
116495.8772,559265.621
116545.6573,559302.8832
116595.7849,559340.7173
116645.6844,559378.7442
116690.6096,559424.5469
116740.372,559463.3783
116946.5188,559618.2984
116996.5061,559660.1461
117046.1855,559702.4264
117096.3735,559745.6435
117145.9624,559789.0901
117195.3198,559832.8973
117245.1801,559877.6731
117295.1685,559923.1255
117344.8986,559968.8428
117394.6407,560015.0278
115195.3305,558032.9677
115245.3377,558106.5332
115295.2556,558176.2901
115345.1768,558242.5892
115395.4809,558306.1453
115445.4481,558366.2858
115738.1618,558684.3303
115788.3837,558729.4451
115846.2266,558765.2689
115896.3512,558807.5644
115946.2837,558848.5888
115996.4717,558888.8381
116046.3477,558928.0259
116096.6241,558966.8171
116146.4711,559004.7416
116196.6765,559042.4808
116246.5124,559079.6449
116296.3387,559116.5837
116346.6119,559153.7434
116396.524,559190.633
116446.4122,559227.5815
116496.4661,559264.8129
116546.2777,559302.0989
116596.3871,559339.919
116646.301,559377.9569
116691.173,559423.7207
116947.0161,559617.4308
116997.0052,559659.2796
117046.7304,559701.5879
117096.8916,559744.7881
117146.5392,559788.2732
117195.9884,559832.1537
117245.8687,559876.9479
117295.8587,559922.4019
117345.6274,559968.1581
117395.4063,560014.3845
115196.1087,558032.3397
115246.1148,558105.9038
115296.0464,558175.6779
115345.9806,558241.9944
115396.2341,558305.4875
115446.2068,558365.6343
115738.8451,558683.6001
115789.03,558728.6821
115846.8555,558764.4914
115896.9593,558806.7706
115946.9031,558847.8037
115997.0598,558888.0292
116046.9564,558927.2325
116097.1867,558965.9904
116147.0592,559003.9328
116197.2304,559041.6483
116247.0937,559078.8312
116296.9489,559115.7915
116347.1766,559152.9181
116397.1034,559189.8179
116447.0101,559226.78
116497.0551,559264.0047
116546.8981,559301.3146
116596.9892,559339.1206
116646.9175,559377.1695
116691.7364,559422.8946
116947.5134,559616.5632
116997.5043,559658.413
117047.2754,559700.7494
117097.4096,559743.9328
117147.116,559787.4563
117196.657,559831.41
117246.5572,559876.2227
117296.5489,559921.6783
117346.3562,559967.4733
117396.172,560013.7412
115196.887,558031.7118
115246.8918,558105.2744
115296.8371,558175.0658
115346.7845,558241.3996
115396.9872,558304.8297
115446.9654,558364.9828
115789.6764,558727.9191
115847.4844,558763.7139
115897.5675,558805.9767
115947.5225,558847.0186
115997.6478,558887.2204
116047.5651,558926.4392
116097.7494,558965.1637
116147.6474,559003.1241
116197.7843,559040.8157
116247.6749,559078.0175
116297.5592,559114.9993
116347.7413,559152.0927
116397.6827,559189.0028
116447.6081,559225.9785
116497.6441,559263.1966
116547.5185,559300.5303
116597.5914,559338.3222
116647.534,559376.3822
